step,entropy,energy,anomaly
0,0.3470841047984881,10000.0,0.9999499987499372
1,-1.5598124980080468,2256.25,0.4749049904980994
2,-1.7454934152038086,1145.3994140625,0.3383171452664644
3,-5.842447142598227,717.8631744384764,0.267792472363928
4,-6.338589779578409,496.0266286188363,0.22256756461523033
5,-12.323889018696166,362.6078661860847,0.1902653750020866
6,-13.298094697088993,274.98392713323557,0.16566338371697376
7,-21.282225319706704,213.9858980927496,0.14611578392276248
8,-22.903664553654146,169.73637277913662,0.1301138909227162
9,-33.04988744788141,136.63908978143934,0.11672269507811286
10,-35.490214037794125,111.29339262129346,0.1053256410846309
11,-48.24707634467197,91.51869524123211,0.09549615787886882
12,-51.69422610694678,75.85604909515129,0.08692759059746939
13,-67.37882347545076,63.295196291026286,0.07939249095258351
14,-71.953466756735,53.116497170641246,0.0727177215576684
15,-91.2453511707596,44.79506015973292,0.06676857149571945
16,-97.31476432681494,37.94030045330738,0.06143825271673086
17,-120.27807997589835,32.256557908538646,0.0566407391316664
18,-128.51301065141476,27.51669815027682,0.05230575392391223
19,-156.1456943165971,23.54397485483061,0.048375178669937985
20,-166.5583994135111,20.199295714476943,0.04480042807598142
21,-199.89463602604937,17.37210999244459,0.0415404956291383
22,-212.61683031134362,14.973776248381775,0.03856047496291833
23,-251.89175540843368,12.93266160441078,0.03583042472574536
24,-268.43679429813,11.190470989340028,0.03332448559093707
25,-314.9689582970928,9.699463825191351,0.031020185121811636
26,-335.19059059089653,8.420320130145615,0.028897884507275578
27,-390.3836294686998,7.320488003818611,0.02694033377772004
28,-414.9287386332681,6.372892149529671,0.025132310920763765
29,-479.84194843731734,5.554916097183194,0.0234603265716818
30,-510.356028035665,4.847593971722487,0.02191238045657189
31,-586.2584197416378,4.2349641505784055,0.02047775904974146
32,-623.4420731562635,3.703549041519833,0.019146866329268392
33,-711.8755306801511,3.2419338767516566,0.01791108132166683
34,-756.6469344171632,2.840423801556274,0.01676263748830401
35,-860.8490258875328,2.490763283997245,0.0156945200422328
36,-914.5566524007417,2.1859054373946134,0.014700378079408109
37,-1036.3500517160799,1.919821547384586,0.013774449023920225
38,-1099.0824848104296,1.687343156880984,0.012911493367257719
39,-1240.4518190825904,1.4840306481550765,0.012106738059233658
40,-1318.6329151856362,1.3060634899703263,0.011355827207144854
41,-1481.7366577513603,1.1501482760737682,0.010654778977957701
42,-1574.4236409366808,1.0134414335557893,0.009999947789354232
43,-1763.4205535202973,0.893484073497853,0.00938799102959091
44,-1870.7148610410104,0.7881469278739007,0.008815839671162893
45,-2093.534021346462,0.6955836930443794,0.008280672245263184
46,-2220.6377683553674,0.6141914020907026,0.007779891727654281
47,-2476.1062078256564,0.5425766915579384,0.007311104955474526
48,-2628.561339364595,0.47952702515002493,0.006872104251540515
49,-2923.8639415871007,0.42398609705560364,0.006460850980135497
50,-3101.473718316844,0.3750327682860879,0.006075460797879894
51,-3443.127588241791,0.3318629964947097,0.005714190396489763
52,-3650.01310247934,0.29377430779915575,0.005375425562184691
53,-4043.3216770906583,0.26015243178140235,0.00505767040012817
54,-4289.746862428937,0.23045978097542963,0.004759537592315204
55,-4747.8041119635345,0.2042255060856689,0.0044797395743683
56,-5027.0689637082,0.1810368997596124,0.004217080531257418
57,-5551.909096068869,0.1605319564604507,0.003970449124426246
58,-5887.675710411173,0.14239292505804013,0.003738811873518633
59,-6487.047675604722,0.1263407151598218,0.0035212071251298875
60,-6877.436570452817,0.11213003873672628,0.0033167395489852396
61,-7568.984848322449,0.09954518591593857,0.0031245751088614187
62,-8029.076767775091,0.08839634844851173,0.0029439364615748286
63,-8816.076110246886,0.07851641675601326,0.0027740987425934147
64,-9344.985044079714,0.06975818698038379,0.002614385701400017
65,-10264.353304552546,0.06199192340593856,0.002464166153736351
66,-10868.565242477216,0.05510322924163817,0.0023228507213677624
67,-11917.530141639036,0.04899118525311551,0.0021898888330965484
68,-12622.74629386787,0.04356672129067486,0.0020647659634728537
69,-13817.065185237989,0.038751190516381546,0.0019470010880554027
70,-14644.594607679464,0.03447512021174615,0.001836144336201115
71,-16010.437968886918,0.030677116549250007,0.0017317748242483514
72,-16970.80240892976,0.027302903721780524,0.0016334986536337757
73,-18537.573030376243,0.024304480416225748,0.0015409470599736588
74,-19640.918529026603,0.02163937885208572,0.001453774700469649
75,-21418.955319614834,0.01927001353468344,0.0013716580681860833
76,-22683.571931159917,0.017163108539231135,0.0012942940228077866
77,-24774.80421707467,0.015289193583861637,0.0012213984284387346
78,-26203.10335956554,0.013622160398449986,0.001152704889855733
79,-28571.827647799422,0.012138871978625532,0.0010879635793985803
80,-30261.59704597674,0.010818818253855389,0.0010269401473687854
81,-32942.24242679794,0.009643812514565706,0.0009694147094313439
82,-34861.02480651053,0.008597723652821809,0.0009151809050758498
83,-37926.768664352356,0.007666239888568244,0.000864045021700896
84,-40162.8416824498,0.006836660191244418,0.0008158251793451001
85,-43620.35723289496,0.006097710075405673,0.0007703505715043061
86,-46248.29745993518,0.00543937885797157,0.0007274607578520285
87,-50183.07954335202,0.004852775821799727,0.0006870050050230775
88,-53118.394176305,0.004330003042265351,0.0006488416719319976
89,-57667.832714603785,0.0038640429063027362,0.0006128376363816719
90,-61073.23866315657,0.0034486585920266493,0.0005788677599759256
91,-66235.95728740364,0.0030783059860035027,0.0005468143885857308
92,-70055.95634173373,0.0027480556983003708,0.0005165668858338498
93,-76015.09835862264,0.00245352399591233,0.0004880211972594535
94,-80416.32921574858,0.0021908116159259023,0.00046107944300417125
95,-87103.49641288887,0.0019564495433122284,0.0004356495370257487
96,-92182.29604082863,0.0017473509467255315,0.00041164483099643016
97,-99770.52496168454,0.001560768560996329,0.0003889837811816132
98,-105703.0540502433,0.0013942568887970266,0.0003675896367213798
99,-114318.52320246316,0.0012456386676508707,0.00034739014785423135
100,-121012.67239425339,0.0011129751133018007,0.0003283172927296526
101,-130849.94948104078,0.0009945395075516294,0.0003103070215548519
102,-138458.5944864252,0.0008887937489533432,0.0002932990169119132
103,-149670.89345672986,0.0007943675290563961,0.0002772364691653344
104,-158323.59180446476,0.0007100398359586517,0.00026206586595713414
105,-171006.59678367557,0.0006347225213661031,0.00024773679485793726
106,-180909.46936198935,0.0005674456977527723,0.00023420175830820688
107,-195528.9757162423,0.0005073447590371285,0.0002214160000445363
108,-206733.17354947887,0.00045364884187582233,0.0002093373422620608
109,-223154.90149003593,0.0004056705655956835,0.00019792603281598134
110,-236154.8646280503,0.00036279690727009204,0.0001871446018132456
111,-254742.773223,0.0003244810847851362,0.00017695772698993138
112,-269589.3683843846,0.0002902353351884413,0.00016733210731109706
113,-290660.29613522,0.0002596244883924572,0.0001582363442680759
114,-307467.59225278225,0.0002322602476106758,0.00014964083038362472
115,-331259.5592303143,0.00020779609791245148,0.00014151764446821623
116,-350472.44922748447,0.00018592277314185966,0.0001338404532012849
117,-377621.25614332734,0.00016636421929224783,0.0001265844186395822
118,-399599.6589282529,0.00014887399937875222,0.00011972611128113303
119,-430356.0752480141,0.00013323209101003428,0.0001132434283377688
120,-454906.20768948435,0.00011924203331948284,0.00010711551689197834
121,-490358.2814241494,0.0001067283847559775,0.00010132270163500013
122,-518267.48439841706,9.553445752635015e-05,9.584641690279345e-05
123,-558134.1968400814,8.552029828887896e-05,9.066914274488162e-05
124,-590063.615508042,7.656088807510666e-05,8.577434477815821e-05
125,-634636.5594862943,6.854453741510527e-05,8.114641759367814e-05
126,-671344.2323669187,6.13714553024119e-05,7.677063149930634e-05
127,-722039.140430272,5.495247299759757e-05,7.263308239494383e-05
128,-763179.5599029532,4.920790576772423e-05,6.872064458996743e-05
129,-821117.371704911,4.40665375227947e-05,6.502092638457255e-05
130,-868123.8930974476,3.9464714966255145e-05,6.152222824795756e-05
131,-933016.961286278,3.5345539348161254e-05,5.8213503436792884e-05
132,-986988.3699588699,3.165814521756774e-05,5.508432090722831e-05
133,-1060315.174948851,2.8357056733465487e-05,5.212483038285748e-05
134,-1121036.8042678968,2.5401613127485224e-05,4.932572944962461e-05
135,-1204952.7451977956,2.2755455831069367e-05,4.6678232556665754e-05
136,-1273042.1254418055,2.038607059769453e-05,4.417404180956382e-05
137,-1367987.7872967813,1.8264378678365347e-05,4.180531944950033e-05
138,-1445557.2315259813,1.6364371756066473e-05,3.956466191833805e-05
139,-1551954.1074838906,1.4662785921086893e-05,3.7445075415800244e-05
140,-1640998.926292008,1.3138810482043373e-05,3.5439952860651226e-05
141,-1760822.4269441701,1.1773827864060472e-05,3.354305217315619e-05
142,-1861779.1840151057,1.0551181252154537e-05,3.1748475801130335e-05
143,-1998819.8354514719,9.45596699995895e-06,3.0050651416600852e-05
144,-2111874.1504893596,8.47484914643862e-06,2.8444313714521436e-05
145,-2266264.680287192,7.59589367054255e-06,2.6924487249117866e-05
146,-2396687.5379930246,6.808420369716167e-06,2.548647024732175e-05
147,-2568081.988578878,6.102870476289801e-06,2.4125819342386978e-05
148,-2715836.3556206105,5.470688329040409e-06,2.283833517419325e-05
149,-2910908.3201332316,4.904215598415976e-06,2.1620048805939795e-05
150,-3077488.4371726937,4.396596725437459e-06,2.0467208909932694e-05
151,-3299908.2628646246,3.9416943783060496e-06,1.9376269677984688e-05
152,-3485653.598689321,3.5340138591591587e-06,1.8343879414588026e-05
153,-3739983.214488791,3.168635507941082e-06,1.7366869773500835e-05
154,-3949962.366211963,2.8411542524994992e-06,1.644224560071526e-05
155,-4232355.0426223,2.5476255451359913e-06,1.5567175348961552e-05
156,-4473236.759473563,2.2845170071279497e-06,1.4738982030954675e-05
157,-4792061.559594136,2.048665175269395e-06,1.3955134680518272e-05
158,-5064493.096931989,1.8372368092005662e-06,1.3213240292531626e-05
159,-5425705.805461512,1.6476942760578645e-06,1.2511036214347094e-05
160,-5733098.9398255665,1.4777645805311753e-06,1.1846382962924454e-05
161,-6137757.800495483,1.3254116544366831e-06,1.1217257443431429e-05
162,-6487574.244536882,1.1888115609985745e-06,1.062174654647221e-05
163,-6944922.051678131,1.0663303057157543e-06,1.005804110243396e-05
164,-7341400.439674338,9.5650397844508e-07,9.524430172689749e-06
165,-7854504.857792923,8.580209805840868e-07,9.019295658570752e-06
166,-8302944.149245528,7.697061173612198e-07,8.541107210124789e-06
167,-8883257.353284143,6.905063585766246e-07,8.088417417717051e-06
168,-9384740.347014414,6.19478091981606e-07,7.659857270506148e-06
169,-10043944.005586838,5.557757121073746e-07,7.254131866747972e-06
170,-10612877.067406477,4.986414039922204e-07,6.870016361745108e-06
171,-11359638.437553572,4.473959961235197e-07,6.506352140073648e-06
172,-12000316.761324076,4.0143077019674003e-07,6.16204319948571e-06
173,-12834034.32697597,3.6020012716717476e-07,5.8360527346072224e-06
174,-13556069.04083939,3.2321501968253014e-07,5.527399909229736e-06
175,-14500291.986253662,2.9003707047048713e-07,5.235156806634356e-06
176,-15320657.313426586,2.6027330473523864e-07,4.95844554798804e-06
177,-16374168.097309692,2.335714321981076e-07,4.696435569419431e-06
178,-17309026.438151754,2.0961562119549035e-07,4.448341048915484e-06
179,-18492706.740759335,1.8812271330809062e-07,4.213418474683112e-06
180,-19545266.652182702,1.688388324150618e-07,3.9909643470938995e-06
181,-20893404.259207126,1.5153634691345965e-07,3.780313006776423e-06
182,-22069675.47570791,1.3601114817819823e-07,3.5808345818412313e-06
183,-23584171.63130073,1.2208021221488754e-07,3.3919330476199678e-06
184,-24922542.171536475,1.0957941492606613e-07,3.2130443926735632e-06
185,-26626520.109127298,9.836157451382044e-08,3.0436348851764837e-06
186,-28129755.65544279,8.829469731734731e-08,2.8831994341157907e-06
187,-30034811.889747005,7.92604058672977e-08,2.7312600400565415e-06
188,-31740125.925376903,7.115253016066785e-08,2.5873643305199054e-06
189,-33913389.58257073,6.387584514822676e-08,2.451084175298348e-06
190,-35807458.69471068,5.7344939205682706e-08,2.3220143772943252e-06
191,-38261814.35108632,5.148319995207972e-08,2.199771434716109e-06
192,-40393043.688681126,4.622190520400622e-08,2.0839923706973795e-06
193,-43156266.62931576,4.149940812973389e-08,1.974333626627076e-06
194,-45569733.11820386,3.72604068091514e-08,1.8704700156832787e-06
195,-48673003.80217759,3.345528942741357e-08,1.7720937332604543e-06
196,-51406656.26585502,3.003954724519561e-08,1.678913421163849e-06
197,-54872522.93841113,2.697324830759377e-08,1.5906532826188488e-06
198,-57974439.55145634,2.422056558712761e-08,1.5070522453072839e-06
199,-61872570.472947806,2.1749353912987312e-08,1.42786316979757e-06
